t  ID  type  x  y  dx  dy
94060  4  1  -0.50000  -1.10000  -0.25333  -0.14000
94170  4  1  -0.50000  -1.10000  -0.66000  -0.45333
94279  4  3  -0.50000  -1.10000  -0.66000  -0.45333
94826  3  1  0.74000  -0.90000  -0.05333  0.00000
94935  3  3  0.74000  -0.90000  -0.62667  0.49333
95373  2  1  0.83333  0.75333  1.10000  -0.52000
95482  2  3  0.83333  0.75333  1.44000  -0.63333
96248  1  1  -0.28667  0.86667  0.50667  -0.30000
96357  1  3  -0.28667  0.86667  0.61333  -0.35333
96685  3  1  0.46667  -0.70667  -0.04000  0.00000
96795  3  1  0.46667  -0.70667  -0.52000  0.42000
96904  3  3  0.46667  -0.70667  -0.54000  0.45333
97670  3  1  -0.33333  -1.12667  0.06667  -0.33333
97779  3  3  -0.33333  -1.12667  0.09333  -0.41333
98216  4  1  -0.90000  0.03333  0.49333  -0.06000
98326  4  3  -0.90000  0.03333  1.10667  -0.06000
98763  4  1  -0.86000  -0.08000  0.64000  0.06667
98873  4  3  -0.86000  -0.08000  1.17333  0.14000
99201  2  1  1.39333  -0.06667  0.28000  -0.25333
99310  2  3  1.39333  -0.06667  0.30667  -0.28667
