t  ID  type  x  y  dx  dy
46805  1  1  -0.97333  0.35333  -0.31333  0.21333
46912  1  1  -0.97333  0.35333  -0.46667  0.27333
47021  1  1  -0.97333  0.35333  -0.56000  0.31333
47129  1  1  -0.97333  0.35333  -0.59333  0.33333
47238  1  1  -0.97333  0.35333  -0.64000  0.35333
47354  1  1  -0.97333  0.35333  -0.65333  0.35333
49316  1  3  -0.97333  0.35333  -0.65333  0.35333
51942  4  1  -0.99333  -0.52000  0.00000  0.00667
52055  4  1  -0.99333  -0.52000  -0.02667  0.04000
52163  4  1  -0.99333  -0.52000  -0.07333  0.12000
52270  4  1  -0.99333  -0.52000  -0.12000  0.18000
52379  4  1  -0.99333  -0.52000  -0.17333  0.26667
52492  4  1  -0.99333  -0.52000  -0.21333  0.32667
52600  4  1  -0.99333  -0.52000  -0.24667  0.34667
52709  4  1  -0.99333  -0.52000  -0.32667  0.37333
52819  4  1  -0.99333  -0.52000  -0.39333  0.37333
53038  4  1  -0.99333  -0.52000  -0.43333  0.41333
53145  4  1  -0.99333  -0.52000  -0.46000  0.44000
53256  4  1  -0.99333  -0.52000  -0.50000  0.45333
53365  4  1  -0.99333  -0.52000  -0.56000  0.48000
53476  4  1  -0.99333  -0.52000  -0.63333  0.49333
53587  4  1  -0.99333  -0.52000  -0.68000  0.50000
53693  4  1  -0.99333  -0.52000  -0.70000  0.50667
53805  4  1  -0.99333  -0.52000  -0.74667  0.52000
53914  4  1  -0.99333  -0.52000  -0.78000  0.52667
54239  4  3  -0.99333  -0.52000  -0.78000  0.52667
57306  3  1  -0.47333  -0.95333  0.00000  -0.00667
57412  3  1  -0.47333  -0.95333  -0.10667  -0.28000
57525  3  1  -0.47333  -0.95333  -0.24000  -0.61333
57629  3  1  -0.47333  -0.95333  -0.24667  -0.75333
57743  3  1  -0.47333  -0.95333  -0.20667  -0.86000
57851  3  1  -0.47333  -0.95333  -0.17333  -0.95333
57960  3  1  -0.47333  -0.95333  -0.19333  -0.98000
58068  3  1  -0.47333  -0.95333  -0.26667  -1.00000
58176  3  1  -0.47333  -0.95333  -0.34000  -1.02000
58288  3  1  -0.47333  -0.95333  -0.46667  -1.04000
58396  3  1  -0.47333  -0.95333  -0.60667  -1.05333
58506  3  1  -0.47333  -0.95333  -0.67333  -1.06000
58615  3  1  -0.47333  -0.95333  -0.74667  -1.07333
58729  3  1  -0.47333  -0.95333  -0.80667  -1.08667
58837  3  1  -0.47333  -0.95333  -0.84667  -1.08667
58941  3  1  -0.47333  -0.95333  -0.87333  -1.08000
59051  3  1  -0.47333  -0.95333  -0.89333  -1.08000
59163  3  1  -0.47333  -0.95333  -0.93333  -1.06000
59276  3  1  -0.47333  -0.95333  -0.98667  -1.02667
59379  3  1  -0.47333  -0.95333  -1.00667  -1.00667
59493  3  3  -0.47333  -0.95333  -1.03333  -0.94000
62225  4  1  -0.52000  1.02000  0.03333  -0.04000
62332  4  1  -0.52000  1.02000  0.16667  -0.22667
62442  4  1  -0.52000  1.02000  0.33333  -0.40000
62556  4  1  -0.52000  1.02000  0.49333  -0.52667
62663  4  1  -0.52000  1.02000  0.61333  -0.62000
62771  4  1  -0.52000  1.02000  0.71333  -0.70667
62880  4  1  -0.52000  1.02000  0.83333  -0.80667
62990  4  1  -0.52000  1.02000  0.91333  -0.86667
63100  4  1  -0.52000  1.02000  0.98667  -0.94000
63210  4  1  -0.52000  1.02000  1.04000  -1.00667
63318  4  1  -0.52000  1.02000  1.09333  -1.06000
63431  4  1  -0.52000  1.02000  1.14667  -1.10667
63538  4  1  -0.52000  1.02000  1.20000  -1.14000
63645  4  1  -0.52000  1.02000  1.26000  -1.17333
63754  4  1  -0.52000  1.02000  1.32667  -1.20000
63867  4  1  -0.52000  1.02000  1.40667  -1.21333
63976  4  1  -0.52000  1.02000  1.46667  -1.22667
64083  4  1  -0.52000  1.02000  1.50000  -1.22667
64192  4  1  -0.52000  1.02000  1.52000  -1.23333
64306  4  1  -0.52000  1.02000  1.54000  -1.23333
64521  4  3  -0.52000  1.02000  1.54667  -1.23333
67803  3  1  -1.00000  0.54000  0.00000  0.00667
67914  3  1  -1.00000  0.54000  -0.16667  0.05333
68020  3  1  -1.00000  0.54000  -0.30000  0.13333
68130  3  1  -1.00000  0.54000  -0.36667  0.18667
68239  3  1  -1.00000  0.54000  -0.41333  0.21333
68348  3  1  -1.00000  0.54000  -0.44667  0.22667
68461  3  1  -1.00000  0.54000  -0.45333  0.23333
68566  3  1  -1.00000  0.54000  -0.46667  0.23333
68679  3  1  -1.00000  0.54000  -0.52667  0.24667
68786  3  1  -1.00000  0.54000  -0.53333  0.25333
69337  3  3  -1.00000  0.54000  -0.53333  0.25333
72400  2  1  -0.98667  -0.51333  -0.08000  0.01333
72506  2  1  -0.98667  -0.51333  -0.27333  0.10667
72620  2  1  -0.98667  -0.51333  -0.40000  0.18000
72723  2  1  -0.98667  -0.51333  -0.46000  0.24000
72832  2  1  -0.98667  -0.51333  -0.51333  0.28667
72941  2  1  -0.98667  -0.51333  -0.56667  0.33333
73053  2  1  -0.98667  -0.51333  -0.60667  0.36667
73162  2  1  -0.98667  -0.51333  -0.61333  0.38000
73269  2  1  -0.98667  -0.51333  -0.62000  0.40000
73490  2  1  -0.98667  -0.51333  -0.62667  0.40667
73603  2  1  -0.98667  -0.51333  -0.63333  0.43333
73707  2  1  -0.98667  -0.51333  -0.64000  0.44667
73819  2  1  -0.98667  -0.51333  -0.66000  0.48000
73929  2  1  -0.98667  -0.51333  -0.68667  0.50667
74037  2  1  -0.98667  -0.51333  -0.68667  0.52667
74364  2  3  -0.98667  -0.51333  -0.69333  0.52667
77210  1  1  -0.24667  -0.95333  -0.01333  0.00667
77319  1  1  -0.24667  -0.95333  -0.08667  -0.08667
77426  1  1  -0.24667  -0.95333  -0.14667  -0.16000
77536  1  1  -0.24667  -0.95333  -0.20000  -0.23333
77651  1  1  -0.24667  -0.95333  -0.32667  -0.36000
77756  1  1  -0.24667  -0.95333  -0.48000  -0.50667
77867  1  1  -0.24667  -0.95333  -0.52667  -0.59333
77976  1  1  -0.24667  -0.95333  -0.52667  -0.61333
78087  1  1  -0.24667  -0.95333  -0.54667  -0.64667
78192  1  1  -0.24667  -0.95333  -0.58667  -0.68667
78306  1  1  -0.24667  -0.95333  -0.67333  -0.75333
78410  1  1  -0.24667  -0.95333  -0.74000  -0.79333
78520  1  1  -0.24667  -0.95333  -0.76667  -0.82000
78629  1  1  -0.24667  -0.95333  -0.79333  -0.84000
78739  1  1  -0.24667  -0.95333  -0.80000  -0.84667
78851  1  3  -0.24667  -0.95333  -0.80000  -0.86000
82462  2  1  -0.56667  1.02667  0.06667  -0.09333
82567  2  1  -0.56667  1.02667  0.17333  -0.24667
82676  2  1  -0.56667  1.02667  0.25333  -0.36000
82790  2  1  -0.56667  1.02667  0.35333  -0.51333
82896  2  1  -0.56667  1.02667  0.45333  -0.65333
83005  2  1  -0.56667  1.02667  0.68667  -0.93333
83113  2  1  -0.56667  1.02667  0.92000  -1.10667
83224  2  1  -0.56667  1.02667  0.98667  -1.14667
83334  2  1  -0.56667  1.02667  1.06000  -1.18000
83444  2  1  -0.56667  1.02667  1.15333  -1.22000
83551  2  1  -0.56667  1.02667  1.24667  -1.26000
83664  2  1  -0.56667  1.02667  1.34000  -1.27333
83770  2  1  -0.56667  1.02667  1.40667  -1.28000
83879  2  1  -0.56667  1.02667  1.43333  -1.28000
83989  2  1  -0.56667  1.02667  1.47333  -1.28000
84098  2  1  -0.56667  1.02667  1.54000  -1.28000
84212  2  1  -0.56667  1.02667  1.62000  -1.28000
84318  2  1  -0.56667  1.02667  1.66000  -1.28000
84429  2  1  -0.56667  1.02667  1.68000  -1.28000
84539  2  3  -0.56667  1.02667  1.68000  -1.28000
87160  1  1  -0.93333  0.29333  -0.05333  0.02000
87276  1  1  -0.93333  0.29333  -0.40000  0.15333
87382  1  1  -0.93333  0.29333  -0.59333  0.21333
87493  1  1  -0.93333  0.29333  -0.70000  0.24667
87600  1  1  -0.93333  0.29333  -0.77333  0.28000
87712  1  1  -0.93333  0.29333  -0.81333  0.30667
87816  1  1  -0.93333  0.29333  -0.85333  0.33333
87926  1  1  -0.93333  0.29333  -0.86000  0.34000
88150  1  1  -0.93333  0.29333  -0.88000  0.36000
88256  1  1  -0.93333  0.29333  -0.90000  0.39333
88364  1  1  -0.93333  0.29333  -0.90667  0.41333
88474  1  1  -0.93333  0.29333  -0.92000  0.42667
88584  1  1  -0.93333  0.29333  -0.92667  0.44000
88693  1  1  -0.93333  0.29333  -0.92667  0.45333
88801  1  1  -0.93333  0.29333  -0.92667  0.46667
89239  1  1  -0.93333  0.29333  -0.92667  0.47333
89352  1  3  -0.93333  0.29333  -0.92667  0.48667
92850  4  1  -0.96667  -0.50667  -0.06667  -0.00667
92962  4  1  -0.96667  -0.50667  -0.52000  0.10000
93068  4  1  -0.96667  -0.50667  -0.76667  0.18000
93178  4  1  -0.96667  -0.50667  -0.91333  0.24000
93288  4  1  -0.96667  -0.50667  -1.03333  0.28667
93394  4  1  -0.96667  -0.50667  -1.11333  0.31333
93504  4  1  -0.96667  -0.50667  -1.18000  0.34667
93617  4  1  -0.96667  -0.50667  -1.22000  0.37333
93725  4  1  -0.96667  -0.50667  -1.26667  0.40000
93835  4  1  -0.96667  -0.50667  -1.29333  0.41333
93942  4  1  -0.96667  -0.50667  -1.32667  0.43333
94054  4  1  -0.96667  -0.50667  -1.34667  0.45333
94381  4  1  -0.96667  -0.50667  -1.34667  0.46667
94603  4  3  -0.96667  -0.50667  -1.34667  0.46667
97441  3  1  -0.38000  -0.96667  -0.01333  -0.01333
97555  3  1  -0.38000  -0.96667  -0.29333  -0.49333
97663  3  1  -0.38000  -0.96667  -0.47333  -0.80667
97774  3  1  -0.38000  -0.96667  -0.52000  -0.86667
97880  3  1  -0.38000  -0.96667  -0.52667  -0.87333
98099  3  1  -0.38000  -0.96667  -0.64667  -0.92000
98208  3  1  -0.38000  -0.96667  -0.68000  -0.92000
98317  3  1  -0.38000  -0.96667  -0.69333  -0.93333
98431  3  1  -0.38000  -0.96667  -0.79333  -0.97333
98539  3  1  -0.38000  -0.96667  -0.86000  -0.98000
98651  3  1  -0.38000  -0.96667  -0.88000  -0.98000
98754  3  1  -0.38000  -0.96667  -0.88000  -0.98667
98868  3  1  -0.38000  -0.96667  -0.91333  -0.99333
98975  3  1  -0.38000  -0.96667  -0.93333  -1.01333
99082  3  1  -0.38000  -0.96667  -0.95333  -1.01333
99193  3  3  -0.38000  -0.96667  -0.96667  -1.01333
